"01","120101","50 "
"01","120102","70 "
"01","120103","70 "
"02","120102","90 "
"02","120106","50 "
"03","120101","50 "
"03","120102","60 "
"03","120106","90 "
"04","120201","50 "
"04","120202","80 "
"05","120201","80 "
"05","120202","60 "
"01","120104","100"
"01","120105","200"
"01","120106","6  "
"01","120107","7  "
"01","120108","8  "
"01","120109","9  "
"01","120110","10 "
"01","120111","11 "
"01","120112","12 "
"01","120113","13 "
"01","120114","14 "
"01","120115","15 "
"01","120116","16 "
"01","120117","17 "
"01","120118","18 "
"01","120119","19 "
"01","120120","20 "
"01","120121","21 "
"01","120122","22 "
"01","120123","50 "
"01","120124","400"
"01","120125","300"
"01","120123","50 "
"06","120101","   "
"07","120101","   "
